Accession	IsEnzyme	Probability
P83543	True	0.7917450666427612
C5P552	True	0.80239337682724
Q9LZS6	True	0.7864401340484619
P04971	True	0.7793919444084167
C6DHM7	True	0.8408316969871521
Q32D41	True	0.8030403852462769
P55824	True	0.8193296194076538
B6H2M0	True	0.8116222620010376
J3RY93	True	0.7630561590194702
P25773	True	0.7802743911743164
B6H5L5	True	0.7980703115463257
P28053	True	0.6822113990783691
P28062	True	0.7972753047943115
P57324	True	0.8137989044189453
P12820	True	0.7631107568740845
Q98995	True	0.7833834886550903
D9I2H0	True	0.6500036716461182
P23097	True	0.7286122441291809
B2U7X2	True	0.8419997692108154
A9IR25	True	0.8160090446472168
P43153	True	0.8010118007659912
Q21181	True	0.7479913830757141
B8CWL9	True	0.828927755355835
C9SSK8	True	0.7889795303344727
Q973J1	False	0.044582270085811615
P83447	True	0.8205232620239258
Q9J5D0	True	0.7735865712165833
Q18KE9	True	0.8217204213142395
P65817	True	0.8456135392189026
P80646	True	0.7641844153404236
A7F811	True	0.8004083633422852
Q65H47	True	0.8297467231750488
P0DMU1	True	0.7742012143135071
P36178	True	0.7798365950584412
Q5VJ76	True	0.7978765964508057
A7E7L8	True	0.8003373146057129
P83495	True	0.7557870149612427
Q92TA9	True	0.8403807878494263
P59511	True	0.7722808718681335
Q9UKQ2	True	0.7831010222434998
B0S1C5	True	0.8311439752578735
P98061	True	0.7512929439544678
Q88D28	True	0.8425453901290894
Q8YQ64	True	0.8057339191436768
Q69IF8	True	0.7675789594650269
Q7ZZS9	True	0.7843818068504333
Q11UQ9	True	0.8376519083976746
Q8VZH2	True	0.7878250479698181
Q9UUD8	True	0.7885954976081848
Q1RJ61	True	0.7802375555038452
O52513	False	0.0004178957606200129
P09141	False	0.00037248549051582813
Q9ZMJ6	False	0.00029233115492388606
A1U698	False	0.0004024255904369056
P54710	False	0.0003963950730394572
P45339	False	0.0003262830141466111
Q37G91	False	0.00029922323301434517
Q4K4P6	False	0.00030289802816696465
Q7WD32	False	0.00032594820368103683
Q5UNU2	False	0.00032792959245853126
O23090	False	0.0003166680980939418
A1SHH8	False	0.0010356087004765868
Q8NGK9	False	0.0004365528002381325
A7HTE5	False	0.00036479171831160784
Q2NQU0	False	0.00034224530099891126
Q9FIV3	False	0.00037957236054353416
P39134	False	0.0005548936314880848
Q9TV45	False	0.00039532428490929306
P9WFZ8	False	0.0018938313005492091
Q2K3V1	False	0.0003316024667583406
A9KJ26	False	0.0004960406804457307
A6Q524	False	0.0003170831478200853
B9LUU4	False	0.0004367954679764807
P17088	False	0.0002470909967087209
P52476	False	0.00036625107168219984
A0ZSF4	False	0.0017654626863077283
P59253	False	0.0004627442394848913
F4KIX1	False	0.0010289469501003623
B6INF8	False	0.00028318160912021995
Q2Y807	False	0.0004310424847062677
Q1KVR5	False	0.012041524983942509
Q9CA51	False	0.0014151966897770762
Q6A0A2	False	0.0007092012674547732
O89943	False	0.0014738405589014292
A5CXI7	False	0.00029267414356581867
P81050	False	0.3628084659576416
D6RA61	True	0.8011917471885681
B8J4Q3	False	0.0004145815910305828
P10708	False	0.0003257636271882802
A8Y7N7	False	0.0006449936190620065
B5Z7V2	False	0.00038759619928896427
Q6ZZY0	False	0.000348979199770838
P16490	False	0.0004932094598188996
P24834	False	0.0007144606206566095
A3PCI2	False	0.0007667354657314718
Q3Z617	False	0.0003709972370415926
Q4JAC4	False	0.00037126539973542094
Q87GY4	False	0.00040426867781206965
O26142	False	0.00027389894239604473
Q9CJW1	False	0.0003077829896938056
vg:1261730	True	0.724371612071991
mru:mru_0320	True	0.7691055536270142
vg:26066938	True	0.7453720569610596
